ts,uptime_s,role,frames_total,kernel_drops,last_frame_age_s
1776115027,1422.4224391400003,brio-room,42623.0,0.0,0.00914768000075128
1776115027,1422.4224391400003,brio-synths,42627.0,0.0,0.013208995000240975
1776115032,1427.4302265759998,brio-operator,39926.0,0.0,0.022939192000194453
1776115032,1427.4302265759998,c920-desk,42820.0,0.0,0.026669072998629417
1776115032,1427.4302265759998,c920-room,42806.0,0.0,0.008622643999842694
1776115032,1427.4302265759998,c920-overhead,42811.0,0.0,0.02987814799962507
1776115032,1427.4302265759998,brio-room,42774.0,0.0,0.01716882799883024
1776115032,1427.4302265759998,brio-synths,42778.0,0.0,0.02192456000011589
1776115037,1432.431252546001,brio-operator,40067.0,0.0,0.0195317840007192
1776115037,1432.431252546001,c920-desk,42971.0,0.0,0.027651763000903884
1776115037,1432.431252546001,c920-room,42957.0,0.0,0.009137910001300042
1776115037,1432.431252546001,c920-overhead,42962.0,0.0,0.0001498810015618801
1776115037,1432.431252546001,brio-room,42926.0,0.0,0.0178723760000139
1776115037,1432.431252546001,brio-synths,42930.0,0.0,0.021996031000526273
1776115042,1437.4327591,brio-operator,40208.0,0.0,0.012857611000072211
1776115042,1437.4327591,c920-desk,43122.0,0.0,0.0313405340002646
1776115042,1437.4327591,c920-room,43109.0,0.0,0.00766085400027805
1776115042,1437.4327591,c920-overhead,43113.0,0.0,0.0015000359999248758
1776115042,1437.4327591,brio-room,43077.0,0.0,0.01801681699907931
1776115042,1437.4327591,brio-synths,43081.0,0.0,0.023632508999071433
1776115047,1443.4349468710006,brio-operator,40351.0,0.0,0.01961437600039062
1776115047,1443.4349468710006,c920-desk,43276.0,0.0,0.0323926159999246
1776115047,1443.4349468710006,c920-room,43262.0,0.0,0.01479786300114938
1776115047,1443.4349468710006,c920-overhead,43267.0,0.0,0.007173869000325794
1776115047,1443.4349468710006,brio-room,43230.0,0.0,0.016094546999738668
1776115047,1443.4349468710006,brio-synths,43234.0,0.0,0.017118338000727817
1776115052,1448.45285865,brio-operator,40496.0,0.0,0.03402794300018286
1776115052,1448.45285865,c920-desk,43431.0,0.0,0.017857725999419927
1776115052,1448.45285865,c920-room,43417.0,0.0,0.0003340029998071259
1776115052,1448.45285865,c920-overhead,43422.0,0.0,0.02202864100036095
1776115052,1448.45285865,brio-room,43386.0,0.0,0.0006099170004745247
1776115052,1448.45285865,brio-synths,43390.0,0.0,7.569099943793844e-05
1776115057,1453.463928184001,brio-operator,40638.0,0.0,0.008694296000612667
1776115057,1453.463928184001,c920-desk,43584.0,0.0,0.02944680400105426
1776115057,1453.463928184001,c920-room,43570.0,0.0,0.013823122000758303
1776115057,1453.463928184001,c920-overhead,43575.0,0.0,0.004761973001222941
1776115057,1453.463928184001,brio-room,43538.0,0.0,0.018676315999982762
1776115057,1453.463928184001,brio-synths,43542.0,0.0,0.01986332800152013
1776115062,1458.4749233950006,brio-operator,40782.0,0.0,0.015148516000408563
1776115062,1458.4749233950006,c920-desk,43737.0,0.0,0.006421681000574608
1776115062,1458.4749233950006,c920-room,43724.0,0.0,0.029075909000312095
1776115062,1458.4749233950006,c920-overhead,43729.0,0.0,0.015536761000475963
1776115062,1458.4749233950006,brio-room,43692.0,0.0,0.029474704000676866
1776115062,1458.4749233950006,brio-synths,43696.0,0.0,0.029987179001182085
1776115067,1463.488517314001,brio-operator,40924.0,0.0,0.02624413800003822
1776115067,1463.488517314001,c920-desk,43890.0,0.0,0.020328073000200675
1776115067,1463.488517314001,c920-room,43877.0,0.0,0.006414220000806381
1776115067,1463.488517314001,c920-overhead,43881.0,0.0,0.029705616001592716
1776115067,1463.488517314001,brio-room,43845.0,0.0,0.006126207001216244
1776115067,1463.488517314001,brio-synths,43849.0,0.0,0.009413333000338753
1776115072,1468.4900202690005,brio-operator,41064.0,0.0,0.02342680699985067
1776115072,1468.4900202690005,c920-desk,44041.0,0.0,0.02415456400012772
1776115072,1468.4900202690005,c920-room,44027.0,0.0,0.013697190001039417
